customer_id,frequency,monetary,recency,R,F,M,RFM_Score,Segment
12475,2,1065.64,53,3,2,3,8,Other
12476,18,12319.91,15,4,4,4,12,High-Value
12477,9,20276.37,22,4,4,4,12,High-Value
12478,1,545.99,3,4,1,2,7,Other
12479,1,473.2,10,4,1,2,7,Other
12480,7,4834.85,27,3,3,4,10,High-Value
12481,14,11033.51,22,4,4,4,12,High-Value
12482,27,21941.72,575,1,4,4,9,High-Value
12483,19,4069.1800000000003,16,4,4,4,12,High-Value
12484,9,5557.1,34,3,4,4,11,High-Value
12485,1,708.1,528,1,1,2,4,At-Risk
12486,1,917.28,431,1,1,3,5,At-Risk
12487,1,285.3,730,1,1,1,3,At-Risk
12488,3,1244.66,9,4,2,3,9,High-Value
12489,1,298.93,335,2,1,1,4,One-Time
12490,20,8764.64,4,4,4,4,12,High-Value
12491,1,424.40000000000003,38,3,1,2,6,Other
12492,3,607.21,62,3,2,2,7,Other
12493,2,379.74,165,2,2,2,6,Other
12494,9,1563.27,15,4,4,3,11,High-Value
12495,1,277.4,640,1,1,1,3,At-Risk
12496,2,45.34,619,1,2,1,4,At-Risk
12497,3,5996.5,81,3,2,4,9,High-Value
12498,3,349.70000000000005,20,4,2,2,8,Other
12499,1,357.72,559,1,1,2,4,At-Risk
12500,18,5559.21,22,4,4,4,12,High-Value
12501,1,2025.39,336,2,1,3,6,Other
12502,5,2995.87,95,2,3,4,9,High-Value
12503,1,896.0,583,1,1,3,5,At-Risk
12504,4,689.05,17,4,3,2,9,High-Value
12505,1,787.2,408,1,1,2,4,At-Risk
12506,1,73.5,232,2,1,1,4,One-Time
12507,4,1508.06,133,2,3,3,8,Other
12508,2,397.88,25,3,2,2,7,Other
12509,1,158.5,283,2,1,1,4,One-Time
12510,7,3039.03,142,2,3,4,9,High-Value
12511,1,3084.02,428,1,1,4,6,At-Risk
12512,2,132.18,65,3,2,1,6,Other
12513,1,558.29,112,2,1,2,5,Other
12514,2,1597.76,266,2,2,3,7,Other
12515,1,278.7,352,2,1,1,4,One-Time
12516,4,2288.62,77,3,3,4,10,High-Value
12517,4,2301.6,27,3,3,4,10,High-Value
12518,5,1840.89,0,4,3,3,10,High-Value
12519,2,626.54,63,3,2,2,7,Other
12520,5,2346.26,78,3,3,4,10,High-Value
12521,1,545.6800000000001,142,2,1,2,5,Other
12522,2,156.72,38,3,2,1,6,Other
12523,23,4010.35,18,4,4,4,12,High-Value
12524,17,9794.11,8,4,4,4,12,High-Value
12525,3,883.73,497,1,2,3,6,At-Risk
12526,3,1172.66,0,4,2,3,9,High-Value
12527,5,717.51,81,3,3,2,8,Loyal
12528,6,1645.48,8,4,3,3,10,High-Value
12529,1,316.48,527,1,1,1,3,At-Risk
12530,9,3381.26,59,3,4,4,11,High-Value
12531,2,1771.2,14,4,2,3,9,High-Value
12532,1,313.83000000000004,29,3,1,1,5,One-Time
12533,2,1223.89,627,1,2,3,6,At-Risk
12534,1,981.18,130,2,1,3,6,Other
12535,2,716.35,91,3,2,2,7,Other
12536,1,4279.71,58,3,1,4,8,Other
12537,1,612.94,408,1,1,2,4,At-Risk
12538,2,640.45,28,3,2,2,7,Other
12539,7,11186.75,21,4,3,4,11,High-Value
12540,32,19250.49,19,4,4,4,12,High-Value
12541,3,841.18,29,3,2,2,7,Other
12542,2,481.88,483,1,2,2,5,At-Risk
12543,1,840.25,447,1,1,2,4,At-Risk
12544,1,316.7,35,3,1,1,5,One-Time
12545,2,832.39,74,3,2,2,7,Other
12546,2,1021.5,46,3,2,3,8,Other
12547,3,299.58,197,2,2,1,5,Other
12548,1,67.19999999999999,165,2,1,1,4,One-Time
12549,5,1570.68,575,1,3,3,7,At-Risk
12550,1,824.83,78,3,1,2,6,Other
12551,1,168.0,357,2,1,1,4,One-Time
12552,1,317.82,39,3,1,1,5,One-Time
12553,12,4104.75,7,4,4,4,12,High-Value
12554,1,384.5,448,1,1,2,4,At-Risk
12556,2,599.5600000000001,49,3,2,2,7,Other
12557,8,18096.14,15,4,4,4,12,High-Value
12558,1,269.96,7,4,1,1,6,One-Time
12559,2,525.71,310,2,2,2,6,Other
12560,2,1918.01,4,4,2,3,9,High-Value
12561,1,238.85,302,2,1,1,4,One-Time
12562,9,4426.92,7,4,4,4,12,High-Value
12563,1,221.24,408,1,1,1,3,At-Risk
12564,1,402.90000000000003,260,2,1,2,5,Other
12565,1,145.92000000000002,288,2,1,1,4,One-Time
12566,1,297.65,85,3,1,1,5,One-Time
12567,15,10741.48,22,4,4,4,12,High-Value
12568,1,52.0,644,1,1,1,3,At-Risk
12569,32,3152.69,1,4,4,4,12,High-Value
12571,2,519.61,39,3,2,2,7,Other
12572,2,912.4200000000001,8,4,2,3,9,High-Value
12573,5,717.41,226,2,3,2,7,Other
12574,1,182.45000000000002,315,2,1,1,4,One-Time
12575,2,568.82,456,1,2,2,5,At-Risk
12576,8,2062.7200000000003,35,3,4,3,10,High-Value
12577,8,1613.1499999999999,34,3,4,3,10,High-Value
12578,4,4026.4500000000003,20,4,3,4,11,High-Value
12579,1,386.42,77,3,1,2,6,Other
12580,2,962.9,246,2,2,3,7,Other
12581,1,179.71,39,3,1,1,5,One-Time
12582,4,1820.4,238,2,3,3,8,Other
12583,27,12493.58,2,4,4,4,12,High-Value
12584,9,2254.15,3,4,4,4,12,High-Value
12585,2,1824.1,233,2,2,3,7,Other
12586,4,2062.67,16,4,3,3,10,High-Value
12587,1,104.0,7,4,1,1,6,One-Time
12588,3,718.78,38,3,2,2,7,Other
12589,6,3294.91,28,3,3,4,10,High-Value
12590,1,9341.26,210,2,1,4,7,Other
12591,3,1114.95,316,2,2,3,7,Other
12592,4,1723.64,91,3,3,3,9,High-Value
12593,3,382.1,108,2,2,2,6,Other
12594,14,4890.110000000001,37,3,4,4,11,High-Value
12595,1,281.02,504,1,1,1,3,At-Risk
12596,2,450.27,50,3,2,2,7,Other
12597,4,3195.22,18,4,3,4,11,High-Value
12598,10,4192.09,9,4,4,4,12,High-Value
12599,13,2026.72,28,3,4,3,10,High-Value
12600,20,4385.85,28,3,4,4,11,High-Value
12601,6,573.26,189,2,3,2,7,Other
12602,1,153.12,58,3,1,1,5,One-Time
12603,1,613.1999999999999,21,4,1,2,7,Other
12604,2,236.18,78,3,2,1,6,Other
12605,3,1124.95,375,2,2,3,7,Other
12607,1,1579.51,59,3,1,3,7,Other
12608,1,415.79,404,1,1,2,4,At-Risk
12609,9,3021.86,77,3,4,4,11,High-Value
12610,4,1747.54,22,4,3,3,10,High-Value
12611,1,1193.32,51,3,1,3,7,Other
12612,1,668.04,73,3,1,2,6,Other
12613,9,6277.37,56,3,4,4,11,High-Value
12614,1,315.6,277,2,1,1,4,One-Time
12615,8,5362.9800000000005,1,4,4,4,12,High-Value
12616,3,1023.1,94,3,2,3,8,Other
12617,1,352.98,28,3,1,2,6,Other
12618,1,137.31,21,4,1,1,6,One-Time
12619,9,3085.7,15,4,4,4,12,High-Value
12620,3,1303.41,14,4,2,3,9,High-Value
12621,35,22097.2,1,4,4,4,12,High-Value
12622,1,162.1,231,2,1,1,4,One-Time
12623,7,3315.84,275,2,3,4,9,High-Value
12624,2,569.13,105,2,2,2,6,Other
12625,4,4678.88,211,2,3,4,9,High-Value
12626,9,5954.4800000000005,22,4,4,4,12,High-Value
12627,6,4082.53,10,4,3,4,11,High-Value
12628,3,732.46,3,4,2,2,8,Other
12629,2,1198.22,385,1,2,3,6,At-Risk
12630,2,1030.88,9,4,2,3,9,High-Value
12631,6,3321.57,56,3,3,4,10,High-Value
12632,2,714.88,520,1,2,2,5,At-Risk
12633,7,5156.16,58,3,3,4,10,High-Value
12634,1,360.0,547,1,1,2,4,At-Risk
12635,4,2624.41,89,3,3,4,10,High-Value
12637,12,8085.81,66,3,4,4,11,High-Value
12638,2,681.49,32,3,2,2,7,Other
12639,3,1072.3700000000001,238,2,2,3,7,Other
12640,3,994.58,23,4,2,3,9,High-Value
12641,1,145.9,114,2,1,1,4,One-Time
12642,3,905.26,24,4,2,3,9,High-Value
12643,11,7803.82,127,2,4,4,10,High-Value
12644,4,1900.49,129,2,3,3,8,Other
12645,8,3215.3,33,3,4,4,11,High-Value
12646,2,1346.97,4,4,2,3,9,High-Value
12647,35,14109.55,21,4,4,4,12,High-Value
12648,4,1039.0,154,2,3,3,8,Other
12649,8,2096.65,106,2,4,3,9,High-Value
12650,1,242.44,2,4,1,1,6,One-Time
12651,4,377.75,334,2,3,2,7,Other
12652,2,891.0300000000001,330,2,2,3,7,Other
12653,3,4160.83,148,2,2,4,8,Other
12654,5,529.98,10,4,3,2,9,High-Value
12655,1,243.35,423,1,1,1,3,At-Risk
12656,8,5723.83,16,4,4,4,12,High-Value
12657,4,1427.18,10,4,3,3,10,High-Value
12658,1,632.05,18,4,1,2,7,Other
12659,1,73.67999999999999,29,3,1,1,5,One-Time
12660,1,227.10000000000002,10,4,1,1,6,One-Time
12661,1,162.0,435,1,1,1,3,At-Risk
12662,20,6130.54,0,4,4,4,12,High-Value
12663,2,185.4,624,1,2,1,4,At-Risk
12664,11,5420.04,7,4,4,4,12,High-Value
12665,3,259.6,324,2,2,1,5,Other
12666,1,1248.42,393,1,1,3,5,At-Risk
12667,1,460.13,57,3,1,2,6,Other
12668,9,9906.03,11,4,4,4,12,High-Value
12669,2,1427.73,150,2,2,3,7,Other
12670,7,3436.29,9,4,3,4,11,High-Value
12671,1,2622.481,605,1,1,4,6,At-Risk
12672,2,407.05,329,2,2,2,6,Other
12673,3,1140.02,4,4,2,3,9,High-Value
12674,4,1844.6,38,3,3,3,9,High-Value
12675,2,873.25,553,1,2,3,6,At-Risk
12676,10,2333.09,24,4,4,4,12,High-Value
12677,2,359.1,554,1,2,2,5,At-Risk
12678,15,32595.18,41,3,4,4,11,High-Value
12679,4,951.02,58,3,3,3,9,High-Value
12680,4,790.81,0,4,3,2,9,High-Value
12681,44,26936.760000000002,14,4,4,4,12,High-Value
12682,51,20736.22,3,4,4,4,12,High-Value
12683,20,10445.7,3,4,4,4,12,High-Value
12684,6,2073.63,7,4,3,3,10,High-Value
12685,6,2575.08,27,3,3,4,10,High-Value
12686,1,71.14,371,2,1,1,4,One-Time
12687,1,1858.91,480,1,1,3,5,At-Risk
12688,1,4873.81,113,2,1,4,7,Other
12689,2,1139.6100000000001,25,3,2,3,8,Other
12690,1,335.01,205,2,1,1,4,One-Time
12691,6,1044.4,27,3,3,3,9,High-Value
12692,1,110.95,636,1,1,1,3,At-Risk
12693,7,1415.02,126,2,3,3,8,Other
12694,3,1663.35,69,3,2,3,8,Other
12695,7,1371.1200000000001,6,4,3,3,10,High-Value
12696,2,731.91,434,1,2,2,5,At-Risk
12697,3,757.59,28,3,2,2,7,Other
12698,1,285.75,589,1,1,1,3,At-Risk
12699,1,566.11,417,1,1,2,4,At-Risk
12700,4,4525.99,7,4,3,4,11,High-Value
12701,6,2248.41,79,3,3,4,10,High-Value
12702,1,201.0,19,4,1,1,6,One-Time
12703,4,898.53,70,3,3,3,9,High-Value
12704,8,1740.84,6,4,4,3,11,High-Value
12705,13,11114.1,14,4,4,4,12,High-Value
12707,1,603.42,291,2,1,2,5,Other
12708,18,4559.66,29,3,4,4,11,High-Value
12709,32,29487.18,14,4,4,4,12,High-Value
12710,3,1023.02,96,2,2,3,7,Other
12711,2,1213.05,611,1,2,3,6,At-Risk
12712,21,5985.03,28,3,4,4,11,High-Value
12713,1,794.55,0,4,1,2,7,Other
12714,12,12815.710000000001,8,4,4,4,12,High-Value
12715,1,263.36,105,2,1,1,4,One-Time
12716,2,963.49,3,4,2,3,9,High-Value
12717,3,1058.91,150,2,2,3,7,Other
12718,1,202.25,70,3,1,1,5,One-Time
12719,2,572.95,4,4,2,2,8,Other
12720,29,6905.28,2,4,4,4,12,High-Value
12721,8,3635.08,31,3,4,4,11,High-Value
12722,4,979.63,84,3,3,3,9,High-Value
12723,5,707.07,3,4,3,2,9,High-Value
12724,7,2083.52,4,4,3,3,10,High-Value
12725,3,1906.76,370,2,2,3,7,Other
12726,11,3690.6,27,3,4,4,11,High-Value
12727,10,4905.53,10,4,4,4,12,High-Value
12728,5,926.17,70,3,3,3,9,High-Value
12729,1,417.01,113,2,1,2,5,Other
12730,1,703.25,521,1,1,2,4,At-Risk
12731,17,25631.71,23,4,4,4,12,High-Value
12732,1,218.26,179,2,1,1,4,One-Time
12733,4,2424.02,233,2,3,4,9,High-Value
12734,3,603.65,352,2,2,2,6,Other
12735,2,689.5699999999999,314,2,2,2,6,Other
12736,1,144.0,332,2,1,1,4,One-Time
12738,1,137.35,371,2,1,1,4,One-Time
12739,2,2421.23,98,2,2,4,8,Other
12740,1,427.6,63,3,1,2,6,Other
12741,1,236.07,532,1,1,1,3,At-Risk
12742,1,1201.52,625,1,1,3,5,At-Risk
12743,2,540.13,133,2,2,2,6,Other
12744,8,13158.16,55,3,4,4,11,High-Value
12745,2,723.85,486,1,2,2,5,At-Risk
12746,1,254.55,540,1,1,1,3,At-Risk
12747,26,8898.48,1,4,4,4,12,High-Value
12748,322,49176.74,0,4,4,4,12,High-Value
12749,9,6847.36,3,4,4,4,12,High-Value
12750,1,275.88,128,2,1,1,4,One-Time
12751,1,268.27,444,1,1,1,3,At-Risk
12752,1,4366.78,80,3,1,4,8,Other
12753,6,21429.39,22,4,3,4,11,High-Value
12754,3,3010.7400000000002,235,2,2,4,8,Other
12755,11,5236.26,280,2,4,4,10,High-Value
12756,1,112.08,86,3,1,1,5,One-Time
12757,9,4176.75,15,4,4,4,12,High-Value
12758,7,9903.24,116,2,3,4,9,High-Value
12759,8,4618.74,51,3,4,4,11,High-Value
12760,1,317.8,455,1,1,1,3,At-Risk
12761,1,712.95,464,1,1,2,4,At-Risk
12762,2,1702.52,7,4,2,3,9,High-Value
12763,2,494.08,137,2,2,2,6,Other
12764,1,1693.88,316,2,1,3,6,Other
12765,6,1299.58,471,1,3,3,7,At-Risk
12766,9,8134.99,3,4,4,4,12,High-Value
12767,1,949.82,375,2,1,3,6,Other
12768,1,168.69,450,1,1,1,3,At-Risk
12769,1,1143.6,238,2,1,3,6,Other
12770,2,3246.45,210,2,2,4,8,Other
12771,1,226.29999999999998,485,1,1,1,3,At-Risk
12772,1,752.47,59,3,1,2,6,Other
12773,1,124.25,563,1,1,1,3,At-Risk
12774,1,83.7,535,1,1,1,3,At-Risk
12775,7,1551.1200000000001,16,4,3,3,10,High-Value
12776,1,27.5,667,1,1,1,3,At-Risk
12777,1,519.45,457,1,1,2,4,At-Risk
12778,9,1541.68,19,4,4,3,11,High-Value
12779,14,6474.11,37,3,4,4,11,High-Value
12780,1,322.4,598,1,1,1,3,At-Risk
12781,2,786.74,63,3,2,2,7,Other
12782,11,3862.2400000000002,4,4,4,4,12,High-Value
12783,4,1295.8700000000001,1,4,3,3,10,High-Value
12784,2,1511.15,14,4,2,3,9,High-Value
12785,3,904.4,363,2,2,3,7,Other
12786,1,668.5,609,1,1,2,4,At-Risk
12787,4,799.1800000000001,9,4,3,2,9,High-Value
12788,4,384.90000000000003,462,1,3,2,6,At-Risk
12789,3,225.35,64,3,2,1,6,Other
12790,2,546.85,191,2,2,2,6,Other
12791,5,656.83,373,2,3,2,7,Other
12792,2,715.01,256,2,2,2,6,Other
12793,3,745.53,334,2,2,2,6,Other
12794,2,860.41,52,3,2,3,8,Other
12795,1,318.48,18,4,1,1,6,One-Time
12796,1,351.0,627,1,1,2,4,At-Risk
12797,2,468.08000000000004,365,2,2,2,6,Other
12798,4,8510.93,9,4,3,4,11,High-Value
12799,1,219.35,528,1,1,1,3,At-Risk
12800,2,500.25,469,1,2,2,5,At-Risk
12801,1,871.82,500,1,1,3,5,At-Risk
12802,5,2186.42,186,2,3,3,8,Other
12803,1,1017.81,392,1,1,3,5,At-Risk
12804,2,325.37,465,1,2,1,4,At-Risk
12805,4,1230.95,381,1,3,3,7,At-Risk
12806,2,2558.96,571,1,2,4,7,At-Risk
12807,1,250.35,382,1,1,1,3,At-Risk
12808,5,748.7,36,3,3,2,8,Loyal
12809,3,1384.34,177,2,2,3,7,Other
12810,2,534.99,534,1,2,2,5,At-Risk
12811,4,893.9,261,2,3,3,8,Other
12812,1,229.64000000000001,44,3,1,1,5,One-Time
12813,3,1621.8,501,1,2,3,6,At-Risk
12814,1,85.92,101,2,1,1,4,One-Time
12815,2,863.46,147,2,2,3,7,Other
12816,2,452.2,95,2,2,2,6,Other
12817,3,570.98,280,2,2,2,6,Other
12818,1,1182.0800000000002,261,2,1,3,6,Other
12819,1,540.52,457,1,1,2,4,At-Risk
12820,11,2689.52,2,4,4,4,12,High-Value
12821,2,220.8,213,2,2,1,5,Other
12822,2,948.88,70,3,2,3,8,Other
12823,18,6501.5,74,3,4,4,11,High-Value
12824,1,397.12,59,3,1,2,6,Other
12825,2,518.63,520,1,2,2,5,At-Risk
12826,12,2800.75,2,4,4,4,12,High-Value
12827,3,430.15,5,4,2,2,8,Other
12828,6,1018.71,2,4,3,3,10,High-Value
12829,3,385.3,336,2,2,2,6,Other
12830,6,6814.64,37,3,3,4,10,High-Value
12831,3,451.11,261,2,2,2,6,Other
12832,2,383.03000000000003,31,3,2,2,7,Other
12833,1,417.38,144,2,1,2,5,Other
12834,1,312.38,282,2,1,1,4,One-Time
12835,41,5996.83,427,1,4,4,9,High-Value
12836,15,6559.7300000000005,58,3,4,4,11,High-Value
12837,2,662.66,172,2,2,2,6,Other
12838,10,2975.91,33,3,4,4,11,High-Value
12839,26,9669.12,2,4,4,4,12,High-Value
12840,7,4041.9700000000003,143,2,3,4,9,High-Value
12841,40,6958.2,4,4,4,4,12,High-Value
12842,4,1917.99,69,3,3,3,9,High-Value
12843,28,6461.87,65,3,4,4,11,High-Value
12844,4,648.6,28,3,3,2,8,Loyal
12845,4,354.09000000000003,266,2,3,2,7,Other
12847,2,1609.0,21,4,2,3,9,High-Value
12848,1,208.0,675,1,1,1,3,At-Risk
12849,6,3015.98,30,3,3,4,10,High-Value
12850,1,330.0,445,1,1,1,3,At-Risk
12851,2,280.76,96,2,2,1,5,Other
12852,1,311.55,294,2,1,1,4,One-Time
12853,11,3907.5,134,2,4,4,10,High-Value
12854,7,2970.9700000000003,78,3,3,4,10,High-Value
12855,4,612.84,372,2,3,2,7,Other
12856,6,2170.78,7,4,3,3,10,High-Value
12857,6,3688.0,210,2,3,4,9,High-Value
12858,1,147.27,382,1,1,1,3,At-Risk
12859,1,575.1,458,1,1,2,4,At-Risk
12860,1,54.22,692,1,1,1,3,At-Risk
12861,1,68.25,619,1,1,1,3,At-Risk
12862,2,984.62,425,1,2,3,6,At-Risk
12863,6,2792.55,51,3,3,4,10,High-Value
12864,2,299.57,137,2,2,1,5,Other
12865,4,3323.4700000000003,25,3,3,4,10,High-Value
12866,3,1092.35,282,2,2,3,7,Other
12867,13,7829.26,25,3,4,4,11,High-Value
12868,8,2043.76,185,2,4,3,9,High-Value
12869,1,337.67,681,1,1,1,3,At-Risk
12870,3,1676.95,374,2,2,3,7,Other
12871,3,744.02,83,3,2,2,7,Other
12872,12,3283.96,326,2,4,4,10,High-Value
12873,3,2027.3,281,2,2,3,7,Other
12874,2,873.42,384,1,2,3,6,At-Risk
12875,5,1356.9900000000002,142,2,3,3,8,Other
12876,4,3751.79,57,3,3,4,10,High-Value
12877,20,2942.1400000000003,3,4,4,4,12,High-Value
12878,2,854.99,235,2,2,2,6,Other
12879,3,573.22,44,3,2,2,7,Other
12880,2,640.13,381,1,2,2,5,At-Risk
12881,1,298.0,275,2,1,1,4,One-Time
12882,2,1463.04,8,4,2,3,9,High-Value
12883,4,703.47,24,4,3,2,9,High-Value
12884,1,309.05,87,3,1,1,5,One-Time
12885,3,1175.22,62,3,2,3,8,Other
12886,2,1378.4,67,3,2,3,8,Other
12887,1,222.4,383,1,1,1,3,At-Risk
12888,2,354.12,213,2,2,2,6,Other
12889,4,385.46000000000004,380,1,3,2,6,At-Risk
12890,2,706.02,23,4,2,2,8,Other
12891,11,840.5,185,2,4,2,8,Other
12892,1,263.38,396,1,1,1,3,At-Risk
12893,1,176.55,30,3,1,1,5,One-Time
12894,1,157.35,574,1,1,1,3,At-Risk
12895,2,372.8,41,3,2,2,7,Other
12897,4,514.25,204,2,3,2,7,Other
12898,2,296.21,463,1,2,1,4,At-Risk
12899,1,366.4,413,1,1,2,4,At-Risk
12900,1,340.33000000000004,421,1,1,2,4,At-Risk
12901,28,17654.54,8,4,4,4,12,High-Value
12902,1,138.68,264,2,1,1,4,One-Time
12903,1,833.5300000000001,428,1,1,2,4,At-Risk
12904,2,496.06,17,4,2,2,8,Other
12905,2,1018.42,576,1,2,3,6,At-Risk
12906,5,2919.81,11,4,3,4,11,High-Value
12907,2,508.91,395,1,2,2,5,At-Risk
12908,5,1776.0,175,2,3,3,8,Other
12909,8,3103.19,39,3,4,4,11,High-Value
12910,13,5796.52,22,4,4,4,12,High-Value
12911,1,1651.72,551,1,1,3,5,At-Risk
12912,5,1662.3000000000002,2,4,3,3,10,High-Value
12913,13,6283.24,4,4,4,4,12,High-Value
12914,1,223.98,400,1,1,1,3,At-Risk
12915,4,975.1,148,2,3,3,8,Other
12916,7,4479.73,138,2,3,4,9,High-Value
12917,6,4359.2,127,2,3,4,9,High-Value
12919,6,1335.19,7,4,3,3,10,High-Value
12920,4,486.64,16,4,3,2,9,High-Value
12921,74,35233.24,8,4,4,4,12,High-Value
12922,1,405.38,160,2,1,2,5,Other
12923,3,769.17,63,3,2,2,7,Other
12924,12,2461.4500000000003,87,3,4,4,11,High-Value
12925,3,729.33,4,4,2,2,8,Other
